id,edition,year,host_country,host_continent,winner,second_place,third_place,fourth_place,total_teams
WC-1930,1,1930,Uruguay,South America,Uruguay,Argentina,United States,Yugoslavia,13
WC-1934,2,1934,Italy,Europe,Italy,Czechoslovakia,Germany,Austria,16
WC-1938,3,1938,France,Europe,Italy,Hungary,Brazil,Sweden,15
WC-1950,4,1950,Brazil,South America,Uruguay,Brazil,Sweden,Spain,13
WC-1954,5,1954,Switzerland,Europe,West Germany,Hungary,Austria,Uruguay,16
WC-1958,6,1958,Sweden,Europe,Brazil,Sweden,France,West Germany,16
WC-1962,7,1962,Chile,South America,Brazil,Czechoslovakia,Chile,Yugoslavia,16
WC-1966,8,1966,England,Europe,England,West Germany,Portugal,Soviet Union,16
WC-1970,9,1970,Mexico,North America,Brazil,Italy,West Germany,Uruguay,16
WC-1974,10,1974,West Germany,Europe,West Germany,Netherlands,Poland,Brazil,16
WC-1978,11,1978,Argentina,South America,Argentina,Netherlands,Brazil,Italy,16
WC-1982,12,1982,Spain,Europe,Italy,West Germany,Poland,France,24
WC-1986,13,1986,Mexico,North America,Argentina,West Germany,France,Belgium,24
WC-1990,14,1990,Italy,Europe,West Germany,Argentina,Italy,England,24
WC-1994,15,1994,United States,North America,Brazil,Italy,Sweden,Bulgaria,24
WC-1998,16,1998,France,Europe,France,Brazil,Croatia,Netherlands,32
WC-2002,17,2002,South Korea & Japan,Asia,Brazil,Germany,Turkey,South Korea,32
WC-2006,18,2006,Germany,Europe,Italy,France,Germany,Portugal,32
WC-2010,19,2010,South Africa,Africa,Spain,Netherlands,Germany,Uruguay,32
WC-2014,20,2014,Brazil,South America,Germany,Argentina,Netherlands,Brazil,32
WC-2018,21,2018,Russia,Europe,France,Croatia,Belgium,England,32
WC-2022,22,2022,Qatar,Asia,Argentina,France,Croatia,Morocco,32
